Date,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,fdbb,fdbs,fdb,aof,aofvalue,aoaz,aobz,zlc,zlcb,zlcs,aocolor,accolor,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow,tmax,tmin,p,l,target,vector_ao_fdbs,vector_ao_fdbb
2012-08-20 21:00:00,4295,1417.15,1426.65,1410.15,1414.15,1418.4,0.0587118101,0.0154584299,1370.6782564771,1387.6101355176,1400.0010341515,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,0.0587118101,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1354.15,1561.15,0.0,16.5,-165.0,"[0.0113448251, 0.0244264756, 0.0321661362, 0.0315651974, 0.0259966855, 0.016059667, 0.0088530822, 0.0044808315, 0.0084351396, 0.0200851143, 0.0346578791, 0.0467061395, 0.0587693766, 0.0608534734, 0.056149864, 0.0480039613, 0.0365234102, 0.0241255382, 0.0188790246, 0.0179982094, 0.0185097561, 0.0242837292, 0.033667547, 0.036923568, 0.0328293217, 0.0259611159, 0.0154835334, 0.0052362171, 0.0045098488, 0.0128106664, 0.0242088459, 0.035665996, 0.0414413731, 0.0419009696, 0.0427794447, 0.0455922499, 0.0492259637, 0.0560440913, 0.0588030741, 0.0569253745, 0.0554117952, 0.0532284779, 0.0525896295, 0.0549110129, 0.0570203828, 0.0587118101]",[]
2012-08-21 21:00:00,5019,1414.15,1416.15,1406.35,1414.35,1411.25,0.0590431688,0.0116991862,1372.9722367481,1389.7088685779,1403.1508273212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0590431688,1,0,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-08-22 21:00:00,4904,1414.35,1419.85,1400.15,1402.15,1410.0,0.0564582897,-0.0034837746,1375.2128339213,1392.3202600056,1405.670661857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0564582897,1,0,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-08-23 21:00:00,3672,1402.15,1413.85,1397.35,1411.65,1405.6,0.0507030375,-0.0256964873,1377.6080005427,1395.2489775049,1408.2165294856,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0507030375,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-08-26 21:00:00,3118,1411.65,1417.85,1409.15,1409.85,1413.5,0.0469331297,-0.0336186576,1379.6689235779,1397.8116053168,1408.8232235885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,0.0469331297,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1354.15,1563.85,0.0,8.7,-86.99999999999999,"[0.0113448251, 0.0244264756, 0.0321661362, 0.0315651974, 0.0259966855, 0.016059667, 0.0088530822, 0.0044808315, 0.0084351396, 0.0200851143, 0.0346578791, 0.0467061395, 0.0587693766, 0.0608534734, 0.056149864, 0.0480039613, 0.0365234102, 0.0241255382, 0.0188790246, 0.0179982094, 0.0185097561, 0.0242837292, 0.033667547, 0.036923568, 0.0328293217, 0.0259611159, 0.0154835334, 0.0052362171, 0.0045098488, 0.0128106664, 0.0242088459, 0.035665996, 0.0414413731, 0.0419009696, 0.0427794447, 0.0455922499, 0.0492259637, 0.0560440913, 0.0588030741, 0.0569253745, 0.0554117952, 0.0532284779, 0.0525896295, 0.0549110129, 0.0570203828, 0.0587118101, 0.0590431688, 0.0564582897, 0.0507030375, 0.0469331297]",[]
2012-08-27 21:00:00,4180,1409.85,1413.85,1405.35,1409.35,1409.6,0.0408680476,-0.0449035822,1382.0482371489,1400.3851546522,1409.0585788708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0408680476,1,0,0.0,0.0,0.0,red,red,red,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-08-28 21:00:00,3372,1409.35,1414.35,1406.85,1408.85,1410.6,0.0370995438,-0.0420998059,1384.6406804451,1401.7432603207,1408.3668630966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0370995438,1,0,0.0,0.0,0.0,red,green,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-08-29 21:00:00,3245,1408.85,1409.65,1397.35,1398.35,1403.5,0.0323210511,-0.0418784997,1387.0337050262,1402.7753527806,1409.3934904773,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0323210511,1,0,0.0,0.0,0.0,red,green,gray,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-08-30 21:00:00,5782,1398.35,1413.65,1397.65,1407.65,1405.65,0.029849433,-0.0341975235,1389.4464969473,1403.128433683,1409.4347923818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.029849433,1,0,0.0,0.0,0.0,red,green,gray,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-02 21:00:00,2564,1407.65,1411.15,1398.65,1410.85,1404.9,0.0247583023,-0.0371637886,1391.1236894898,1404.4248794726,1409.6678339055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0247583023,1,0,0.0,0.0,0.0,red,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-03 21:00:00,3941,1410.85,1411.15,1396.65,1405.15,1403.9,0.0211821551,-0.0355317081,1392.5757133752,1405.0717695386,1408.4342671244,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0211821551,1,0,0.0,0.0,0.0,red,green,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-04 21:00:00,5092,1405.15,1409.15,1398.35,1406.15,1403.75,0.0176916557,-0.0337637972,1393.5775815771,1405.7627983462,1407.8774136995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0176916557,1,0,0.0,0.0,0.0,red,green,gray,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-05 21:00:00,5297,1406.15,1433.35,1404.35,1433.35,1418.85,0.0202554739,-0.0112650367,1395.110075302,1405.479948553,1407.2819309596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0202554739,1,0,0.0,0.0,0.0,green,green,gray,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-06 21:00:00,5186,1433.35,1439.35,1431.65,1439.15,1435.5,0.025760803,0.0173190101,1396.2246848941,1405.5012049838,1406.6055447677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.025760803,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-09 21:00:00,3406,1439.15,1439.15,1425.35,1425.65,1432.25,0.0300820394,0.0320403168,1397.3304783638,1405.4260543609,1406.0344358141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0300820394,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-10 21:00:00,3446,1425.65,1438.35,1422.65,1431.15,1430.5,0.034094382,0.0385043203,1397.8050569512,1405.2352975658,1408.5975486513,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.034094382,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
2012-09-11 21:00:00,5652,1431.15,1440.65,1429.65,1438.65,1435.15,0.0400087614,0.045063532,1398.4085141088,1405.04963537,1413.9780389211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0400087614,1,0,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,[],[]
