Date,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,fdbb,fdbs,fdb,aof,aofvalue,aoaz,aobz,zlc,zlcb,zlcs,aocolor,accolor,zcol,sz,bz,acs,acb,ss,sb,price_peak_above,price_peak_bellow,ao_peak_above,ao_peak_bellow
2021-03-25 21:00:00,170459,1.3734,1.38125,1.37295,1.37908,1.3771,-0.0922186355,-0.1076587838,1.3896574642,1.3902484682,1.3870302405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0922186355,0,1,0.0,0.0,0.0,red,green,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-03-27 21:00:00,54,1.37908,1.380255,1.37865,1.3795,1.3794525,-0.0968192416,-0.0736611435,1.3900641977,1.3895592847,1.3839811924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0968192416,0,1,0.0,0.0,0.0,red,green,gray,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0
2021-03-28 21:00:00,201182,1.3795,1.384675,1.37555,1.376205,1.3801125,-0.0958261268,-0.0307863893,1.3900198364,1.3884090616,1.3813459539,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0958261268,0,1,0.0,0.0,0.0,green,green,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-03-29 21:00:00,200388,1.376205,1.378345,1.370605,1.37413,1.374475,-0.089183382,0.0080036086,1.389636772,1.3863310539,1.3804967632,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.089183382,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-03-30 21:00:00,219576,1.37413,1.38121,1.37165,1.378275,1.37643,-0.0776042943,0.0414371885,1.3892597126,1.3843902972,1.3802879105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0776042943,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-03-31 21:00:00,248912,1.378275,1.383665,1.374605,1.383295,1.379135,-0.0707560775,0.049758805,1.388574927,1.38347901,1.3802528284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0707560775,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-01 21:00:00,200786,1.383295,1.385265,1.381065,1.382585,1.383165,-0.0621587941,0.0551808329,1.3872833942,1.3829756963,1.3790972627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,-0.0621587941,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-03 21:00:00,2,1.382585,1.38278,1.382585,1.38278,1.3826825,-0.0539534401,0.0546299561,1.3860158254,1.3826177967,1.3785638102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0539534401,0,1,0.0,0.0,0.0,green,red,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-04 21:00:00,130418,1.38278,1.39136,1.3813,1.39013,1.38633,-0.0330450513,0.0861512997,1.3853299927,1.3815999471,1.3786780481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.0330450513,0,1,0.0,0.0,0.0,green,green,gray,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
2021-04-05 21:00:00,219129,1.39013,1.39189,1.38021,1.38233,1.38605,-0.0163043771,0.1007408499,1.3848778779,1.3809537038,1.3795754385,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,-0.0163043771,0,1,0.0,0.0,0.0,green,green,green,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
