Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,mfi_str_W1,mfi_str_M1,mfi_str_D1,zcol_W1,zcol_M1,zcol_D1
2025-03-31 01:00:00,5539.53,5551.29,5533.27,5546.02,5540.13,5551.89,5533.87,5546.62,16742,5539.83,5551.59,5533.57,5546.32,5542.58,-0.23242840108,-0.23551785063,5723.18795320043,5715.11794884117,5688.95766176344,5847.63320444158,5739.20965429934,5699.04486757299,5968.93403513007,6008.98429601022,5976.05599765725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.63349659539,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,1,0,3,--,+-,+-,+-,red,gray,gray
2025-03-31 05:00:00,5546.02,5550.54,5531.27,5531.78,5546.62,5551.14,5531.87,5532.38,39075,5546.32,5550.84,5531.57,5532.08,5541.205,-0.28511780632,-0.25137136366,5720.80849526193,5710.96445523602,5666.62912941076,5845.57749427932,5737.23275149389,5701.23928323261,5969.01000585916,6008.88071534065,5974.16921989574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3154190659,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,+-,+-,+-,red,gray,gray
2025-03-31 09:00:00,5531.78,5536.66,5511.02,5533.27,5532.38,5537.26,5511.62,5533.87,32884,5532.08,5536.96,5511.32,5533.57,5524.14,-0.32452331676,-0.22933480833,5719.01553408794,5701.93889833152,5643.0723035286,5843.5870168155,5735.734974194,5703.754304314,5969.15093422559,6008.77111999584,5972.06203781313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.97104975064,1,0,1,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,+-,+-,+-,red,gray,gray
2025-03-31 13:00:00,5533.27,5570.34,5492.82,5557.57,5533.87,5571.11,5493.32,5558.07,126454,5533.57,5570.725,5493.07,5557.82,5531.8975,-0.33376002828,-0.15068572809,5716.46030069656,5686.36091104008,5622.97384282288,5841.59351100859,5734.87942920866,5706.07403065771,5969.32697949289,6008.53969887998,5969.50938477277,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,61.40968257232,1,0,1,0,1,0,0,0,gray,0,0,0,0,1,0,0,1,0,0,0,1,+-,+-,+-,+-,red,gray,gray
2025-03-31 17:00:00,5557.57,5631.59,5551.32,5603.75,5558.07,5632.09,5551.82,5604.15,77763,5557.82,5631.84,5551.57,5603.95,5591.705,-0.30907509876,-0.0290091829,5713.80104679682,5669.17142216007,5606.62007425831,5839.19414571636,5734.36571231395,5708.13832387366,5969.47800209371,6008.3570177689,5966.86938904518,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.22389825495,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,0,1,2,-+,+-,+-,+-,red,gray,gray
2025-03-31 21:00:00,5603.75,5605.53,5580.27,5586.04,5604.15,5606.13,5580.87,5586.64,14282,5603.95,5605.83,5580.57,5586.34,5593.2,-0.28054997543,0.06249640748,5708.02865858168,5653.34749439006,5590.12405940665,5836.66724520269,5734.07851754461,5710.14925552443,5969.60855115977,6008.21044258535,5964.27713634347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.86598515614,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,0,0,0,1,2,-+,+-,++,+-,red,red,red
2025-04-01 01:00:00,5586.04,5601.78,5579.29,5593.78,5586.64,5602.38,5579.89,5594.38,12266,5586.34,5602.08,5579.59,5594.08,5590.835,-0.25158062202,0.11589404355,5697.97376176771,5639.3296825913,5578.47874752532,5834.26171435772,5734.00890813471,5711.41707153842,5969.71753378269,6008.07127759571,5961.92514234109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.35235610631,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,0,0,0,1,2,-+,+-,++,+-,red,red,red
2025-04-01 05:00:00,5593.78,5621.29,5591.29,5613.79,5594.38,5621.89,5591.89,5614.39,23573,5594.08,5621.59,5591.59,5614.09,5606.59,-0.20883418306,0.16292743965,5686.50231855481,5624.93097226739,5581.12399802025,5831.94500970201,5734.2929279868,5711.44171649317,5969.83320345436,6007.97616481633,5959.61812746372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.26424298986,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,1,0,0,0,1,+-,+-,++,+-,red,red,red
2025-04-01 09:00:00,5613.79,5623.28,5577.91,5594.54,5614.39,5623.88,5578.51,5595.14,45336,5614.09,5623.58,5578.21,5594.84,5600.895,-0.17052409187,0.17651053259,5675.43137097367,5613.30178823397,5583.5391984162,5829.53073993008,5734.80360202341,5711.04078365514,5970.00161670779,6007.88311260682,5957.04237657856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.07499558849,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,1,0,0,0,1,+-,+-,++,+-,red,red,red
2025-04-01 13:00:00,5594.54,5654.83,5560.33,5631.58,5595.14,5655.33,5560.83,5632.08,175158,5594.84,5655.08,5560.58,5631.83,5607.83,-0.15439501063,0.14099447996,5665.10626551416,5610.60218970472,5584.99835873296,5827.24612487468,5735.32899107753,5711.14252531234,5970.23919862634,6007.80921512782,5954.45847118565,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.95128969273,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,+-,++,+-,red,red,red
