Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,mfi_str_D1,mfi_str_M1,mfi_str_W1,zcol_D1,zcol_M1,zcol_W1
2025-06-03 17:00:00,3348.44,3355.38,3347.21,3353.04,3348.74,3355.68,3347.51,3353.99,31810,3348.59,3355.53,3347.36,3353.515,3351.445,0.27388887841,-0.19868299594,3308.42657383712,3332.55692929306,3352.20115855913,3237.6599240708,3281.82640570775,3292.82704646327,2827.30575885993,3017.21224357178,3169.85905375861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.68374724929,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,--,--,+-,green,green,red
2025-06-03 21:00:00,3353.04,3361.51,3349.76,3350.14,3353.99,3361.81,3350.06,3350.44,27137,3353.515,3361.66,3349.91,3350.29,3355.785,0.24469270183,-0.20661839496,3312.77145277273,3337.07481313143,3352.9959268473,3238.593660879,3282.13528924034,3293.57014803788,2827.84096904863,3018.15376827748,3170.29562282973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.29881711317,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,--,--,+-,green,green,red
2025-06-04 01:00:00,3350.14,3372.54,3346.34,3354.72,3350.44,3372.84,3346.64,3355.02,59976,3350.29,3372.69,3346.49,3354.87,3359.59,0.23195980384,-0.15891529402,3317.70749486714,3339.86671149,3352.03174147784,3239.65361974553,3282.37319307233,3294.36337897794,2828.44231263206,3019.07759330633,3170.58311850452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6841403228,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,0,1,0,0,4,++,--,--,+-,green,green,red
2025-06-04 05:00:00,3354.72,3365.15,3347.87,3362.78,3355.02,3365.45,3348.17,3363.08,68311,3354.87,3365.3,3348.02,3362.93,3356.66,0.22170085392,-0.10634497948,3322.73384141582,3341.90524755375,3351.91439318227,3240.61065772591,3282.7388622892,3294.97975018447,2829.0861261264,3019.93608003034,3170.69104823713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.29607237487,0,0,0,1,0,0,0,0,gray,0,0,0,0,1,0,0,1,0,0,0,1,+-,--,--,+-,green,green,red
2025-06-04 09:00:00,3362.78,3364.95,3343.68,3358.85,3363.08,3365.25,3343.98,3359.15,92429,3362.93,3365.1,3343.83,3359.0,3354.465,0.22067792307,-0.05043765334,3326.26969976845,3342.68896660953,3352.68851454582,3241.26570651551,3283.17306479303,3295.33431635552,2829.73612313933,3020.79146166111,3170.75069373548,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.01225805754,0,0,0,1,0,0,0,0,gray,0,0,0,0,1,0,0,1,0,0,0,1,+-,--,--,+-,green,green,red
2025-06-04 13:00:00,3358.85,3384.64,3350.69,3374.95,3359.15,3384.94,3350.99,3375.25,130264,3359.0,3384.79,3350.84,3375.1,3367.815,0.23001667883,0.00058331817,3328.81895363241,3343.78347078334,3354.06881163666,3241.89738397039,3283.53014543316,3295.36168940388,2830.41706843604,3021.66744251235,3170.8330673901,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.06245777805,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,1,0,1,0,0,4,++,--,--,+-,green,green,red
2025-06-04 17:00:00,3374.95,3382.1,3370.47,3372.04,3375.25,3382.4,3370.77,3373.24,39247,3375.1,3382.25,3370.62,3372.64,3376.435,0.24492005341,0.04243483478,3330.92326489146,3345.28366193542,3354.58704930932,3242.49943583589,3284.01005187983,3295.34678677436,2831.14673801579,3022.58719597796,3170.78717803322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.63283817871,0,0,0,1,0,0,0,0,green,1,0,1,0,0,0,0,0,0,0,1,2,-+,--,--,+-,green,green,red
2025-06-04 21:00:00,3372.04,3381.76,3371.72,3380.14,3373.24,3382.06,3372.59,3380.44,25697,3372.64,3381.91,3372.155,3380.29,3377.0325,0.25643513337,0.06108198875,3332.25032143827,3347.07195419349,3354.56263944746,3243.12345902875,3284.58314184565,3295.19055775158,2831.90943234466,3023.54203633857,3170.59066985243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.96162976223,0,0,0,1,0,0,0,0,green,1,0,1,0,0,0,0,0,0,0,1,2,-+,++,--,+-,green,green,red
2025-06-05 01:00:00,3380.14,3384.08,3363.79,3368.38,3380.44,3384.38,3364.09,3368.68,62666,3380.29,3384.23,3363.94,3368.53,3374.085,0.26591534113,0.06287715467,3333.72683517379,3348.27045991931,3357.21311155797,3243.80375724191,3284.910902903,3295.12333546477,2832.67066727213,3024.53507480922,3170.61889436735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.37800402132,0,1,-1,1,0,0,0,0,green,1,0,1,0,0,0,0,1,0,0,0,1,+-,++,--,+-,green,green,red
2025-06-05 05:00:00,3368.38,3376.88,3361.13,3375.08,3368.68,3377.18,3361.43,3375.38,60749,3368.53,3377.03,3361.28,3375.23,3369.155,0.27004336013,0.04669453417,3335.4236170835,3349.04477742939,3361.05748924637,3244.69983862121,3284.99861375931,3294.99581089228,2833.50081139077,3025.54458092592,3170.85060343424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.92635269716,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,0,0,1,0,3,--,++,--,+-,green,green,red
2025-06-05 09:00:00,3375.08,3403.5,3373.96,3382.93,3375.38,3403.8,3374.26,3383.23,155728,3375.23,3403.65,3374.11,3383.08,3388.88,0.27549263961,0.03642478331,3337.28256961553,3351.39105525072,3364.2524913971,3245.79281796255,3284.77432078187,3295.23409586604,2834.37777210326,3026.48102049276,3171.25153674372,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,18.96897154012,0,1,-1,1,0,0,0,0,gray,0,0,0,1,0,0,0,1,0,0,0,1,+-,++,--,+-,green,green,red
2025-06-05 13:00:00,3382.93,3388.46,3339.13,3353.96,3383.23,3388.76,3339.69,3354.26,263615,3383.08,3388.61,3339.41,3354.11,3364.01,0.23804869236,-0.0651757236,3338.77314118357,3354.52154834438,3366.21899311768,3246.97228068207,3284.37487858583,3295.66456363468,2835.33970108972,3027.36511482541,3171.74364412745,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.66358135918,0,0,0,1,0,0,0,0,gray,0,0,0,0,0,0,0,1,0,0,0,1,+-,++,--,+-,green,green,red
2025-06-05 17:00:00,3353.96,3361.23,3348.81,3352.06,3354.26,3361.53,3349.11,3353.35,69965,3354.11,3361.38,3348.96,3352.705,3355.17,0.19247049899,-0.15752475893,3339.98020724637,3357.33541730133,3366.80619449414,3248.2559629216,3284.25533533882,3296.86472352778,2836.33495387198,3028.29965295921,3172.11780284878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.75173300936,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,1,0,3,--,++,--,+-,green,green,red
2025-06-05 21:00:00,3352.06,3364.03,3352.06,3359.3,3353.35,3364.33,3353.35,3359.6,23903,3352.705,3364.18,3352.705,3359.45,3358.4425,0.15863161171,-0.19240258473,3342.1213451505,3359.42911513867,3371.22095559531,3249.34134536068,3284.48696560539,3298.55017283578,2837.31905213757,3029.29239050015,3172.405352829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.00652637744,0,0,0,1,0,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,-+,--,+-,green,green,red
