Date,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose,Volume,Open,High,Low,Close,Median,ao,ac,jaw,teeth,lips,bjaw,bteeth,blips,tjaw,tteeth,tlips,fh,fl,fh3,fl3,fh5,fl5,fh8,fl8,fh13,fl13,fh21,fl21,fh34,fl34,fh55,fl55,fh89,fl89,mfi,fdbb,fdbs,fdb,aoaz,aobz,zlc,zlcb,zlcs,zcol,zone_sig,sz,bz,acs,acb,ss,sb,mfi_sq,mfi_green,mfi_fade,mfi_fake,mfi_sig,mfi_str,mfi_str_M1,mfi_str_W1,mfi_str_D1,zcol_M1,zcol_W1,zcol_D1
2025-04-18 01:00:00,1.38435,1.38643,1.38414,1.38624,1.3846,1.38683,1.38456,1.38636,165980,1.384475,1.38663,1.38435,1.3863,1.38549,-0.15564761444,0.02409945816,1.3936443278,1.39008025516,1.38854484848,1.43102083882,1.42545054517,1.41168667741,1.42650058856,1.43092687489,1.43286593753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00137365948,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,++,--,+-,gray,red,green
2025-04-18 05:00:00,1.38624,1.38678,1.38438,1.38618,1.38636,1.38716,1.38455,1.38629,119892,1.3863,1.38697,1.384465,1.386235,1.3857175,-0.16597264436,-0.0402898599,1.39307053335,1.38990991076,1.38762887878,1.43093366648,1.42495048981,1.41100295161,1.42650565995,1.43091964581,1.43285449005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00208938044,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,0,1,2,-+,++,--,+-,gray,red,green
2025-04-18 09:00:00,1.38618,1.38688,1.38447,1.38586,1.38629,1.387,1.38462,1.38599,117631,1.386235,1.38694,1.384545,1.385925,1.3857425,-0.158005184,-0.00365624856,1.39268010771,1.38944335942,1.38694660302,1.43088629382,1.42440602636,1.4103591148,1.42651472318,1.43091494776,1.43284638595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00203602792,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,0,0,0,0,1,0,3,--,++,--,+-,gray,red,green
2025-04-18 13:00:00,1.38586,1.38697,1.38439,1.38514,1.38599,1.38711,1.38454,1.38527,57777,1.385925,1.38704,1.384465,1.385205,1.3857525,-0.13234426203,0.10730890879,1.39232817635,1.38875856449,1.38665528242,1.43078962198,1.42385141679,1.4096848026,1.42652545336,1.4309068364,1.43283354647,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00445679076,0,0,0,0,1,0,0,0,green,1,0,1,0,0,0,0,0,0,0,1,2,-+,++,--,+-,gray,red,green
2025-04-18 17:00:00,1.38514,1.38519,1.38266,1.38412,1.38527,1.386,1.38373,1.38514,65737,1.385205,1.385595,1.383195,1.38463,1.384395,-0.1195681433,0.13557723361,1.39205043201,1.38819093143,1.38646772594,1.43069119926,1.42329589103,1.40900113193,1.42653933147,1.430894865,1.43283414684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365091197,1,0,1,0,1,0,0,0,green,1,0,1,0,0,0,0,1,0,0,0,1,+-,++,--,+-,gray,red,green
2025-04-20 17:00:00,1.38412,1.38412,1.38274,1.38309,1.38514,1.38514,1.3841,1.38444,9,1.38463,1.38463,1.38342,1.383765,1.384025,-0.12630342445,0.07167041732,1.39159866801,1.387853315,1.38632268075,1.43060023073,1.4226661021,1.40840146629,1.42655522847,1.43088914669,1.4328568611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.44444444444,0,0,0,0,1,0,0,0,gray,0,0,0,0,0,1,0,0,0,0,1,2,-+,++,-+,-+,gray,red,green
2025-04-20 21:00:00,1.38309,1.38355,1.38048,1.38186,1.38444,1.38444,1.38064,1.38191,27958,1.383765,1.383995,1.38056,1.381885,1.3822775,-0.14764792785,-0.05513527992,1.39101146278,1.38758633813,1.3862086446,1.43046890791,1.42204999115,1.40791664375,1.42657587773,1.43088789499,1.43289122317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01228628657,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,++,-+,+-,gray,red,gray
2025-04-21 01:00:00,1.38186,1.38221,1.37939,1.37973,1.38191,1.38225,1.37947,1.37978,34664,1.381885,1.38223,1.37943,1.379755,1.38083,-0.17941919495,-0.19451037283,1.39048885026,1.38735585836,1.38584591568,1.43031934153,1.42145080949,1.40758644834,1.42659364065,1.43088366583,1.43292932232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00807754443,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,1,0,0,0,1,+-,++,-+,+-,gray,red,gray
2025-04-21 05:00:00,1.37973,1.38031,1.37906,1.37927,1.37978,1.38037,1.37915,1.37931,30736,1.379755,1.38034,1.379105,1.37929,1.3797225,-0.22298336495,-0.32348059997,1.39010432332,1.38715543857,1.38548173254,1.43017920848,1.42081088568,1.40723817045,1.42661194664,1.43088234108,1.43297114994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00401808954,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,0,1,0,3,--,++,-+,+-,gray,red,gray
2025-04-21 09:00:00,1.37927,1.38153,1.37809,1.37931,1.37931,1.38158,1.37814,1.37936,32944,1.37929,1.381555,1.378115,1.379335,1.379835,-0.25314079322,-0.3409371684,1.38976687537,1.38681038374,1.38484088603,1.43004609939,1.42019577867,1.4068580772,1.42663277702,1.43088690185,1.43301086417,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0.01044196212,0,0,0,0,1,0,0,0,red,-1,1,0,0,0,0,0,0,1,0,0,4,++,++,-+,+-,gray,red,gray
